country,"Unemployment, total (% of total labor force)",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated
Mauritius,0.7389651757784954,,,-0.7732604596291409,,,0.31306135810124347,0.21842761798623767,-0.6330513753708689,-0.12723958135176694
Mexico,0.31656962687064943,-0.9173514641479703,-0.6997198396862829,0.8438267603804669,0.054969247365136566,,0.3832972039494369,-0.11158512176822073,-0.5335320398410099,-0.33074383933426643
Mongolia,,,,,,,,,,
Montenegro,-0.7284074539675135,,,-0.6690942585455643,,,nan,nan,nan,
Netherlands,0.6497676956161452,0.28949499657946304,-0.4164583905656506,0.26637440236500515,-0.32359441181359394,-0.2398611230707762,-0.3728011031103305,0.581755675012077,-0.3172639077055003,
New Zealand,0.4672603283038985,0.45406199214999854,,-0.6340969431609202,,,0.23547719618760515,0.1286161564130881,-0.5563857659284713,0.30119640004228904
Nicaragua,,,,,,,,,,
Norway,0.6631283020690484,0.8277989868615161,-0.3204090978775603,-0.34821811884497444,,-0.8054630824365032,-0.11437984533421205,0.3951526799742696,-0.45575923446815364,0.269630021904689
Oman,,,,,,,0.2125455113910376,0.2858237534768492,-0.40126414733421367,
Panama,0.7466105625280312,,0.4042525254862699,-0.21112591578397338,-0.1368256793305368,,0.4605003608319484,-0.06315582927826775,-0.4798330117386211,-0.7722458499113739
Paraguay,-0.8131756574550869,,-0.2535014344038596,0.6619111390578499,,,0.7718010811740449,-0.5039146977734322,-0.6792219890092186,-0.7157961958439639
Philippines,0.08659269378748327,-0.2307155405208733,,0.7292319161224978,,,0.5726272187298622,-0.13252777246715003,-0.6335426294129464,
Poland,-0.09472265902930024,-0.5809027847615054,0.021381256113993784,0.6297317330226152,,,-0.1360928459550404,0.4134373966636721,-0.35399385551952134,0.2767394460856956
Portugal,0.5142488741957661,-0.13474395450164806,,0.7027742894959785,,,-0.5297064247787099,0.6643200420746608,-0.0848724446547176,-0.044273429516998385
Puerto Rico,0.43264063573385625,,,,,,-0.23787934060264196,0.5992017125431988,-0.3292690226227613,0.073301261776407
Qatar,0.13910359235606448,,,-0.34446697787711744,,,0.24358203022575559,0.1610802427612386,-0.3068350212282043,
Republic of Korea,,,,,,,-0.16467801048903963,0.4318976275603748,-0.2943326189479503,0.5367947030821436
Romania,0.07529018957137468,0.35853404174670134,0.32887076736568904,-0.26955414216473916,-0.8430340183485134,-0.23069831826903356,-0.224886162128804,0.4820759316621279,-0.30253614012079405,
Russian Federation,0.6477348681190832,,0.04655447488147115,,,,-0.12796095121442225,0.4211413896206996,-0.302273322173756,0.27466707107529137
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,0.07188060413749399,,-0.15592407254191268,,,-0.0034066535347869417,-0.018775429756988718,-0.2826963791937715,-0.18180842822654553
Saint Vincent and Grenadines,,,,,,,,,,
San Marino,,,,,,,-0.03992177889143431,0.14463168101684926,-0.21554617319147074,
Serbia,-0.5077061803331664,,,-0.8145978075635606,,,-0.5244897520542782,0.5736592942199127,-0.019082601541325968,0.05196055741942811
Seychelles,,,,0.4324229425773404,,,-0.046590505946385,-0.03904438557472056,-0.2932861095311408,-0.24209298945400787
Singapore,-0.25054027049707744,-0.4631446401492226,,-0.20150728114720917,,-0.8920395037540887,-0.18293310836586155,0.5316171059084087,-0.35960041521476693,
Slovakia,,0.16930522518666496,,-0.3929686552339105,,,-0.18432447527266094,0.3810869047612863,-0.2659923556120153,
Slovenia,-0.2555193365518434,0.7580923316020285,-0.2579722839179409,-0.7334256162854694,,,-0.33128686218821823,0.5555712799222452,-0.22986608901687963,
South Africa,-0.5737791053496046,-0.3532957026142704,,-0.17884446433283593,-0.423888673413125,0.3257603074020546,0.4469920309981834,-0.2861642328646094,-0.4768655838242708,-0.4424548871009839
Spain,0.14274668065184082,-0.008082608313400736,-0.02384559080128127,-0.6332811139647956,-0.03055991361828554,-0.22510594536944106,-0.4446578766531382,0.5797000839134608,-0.14639632149304474,0.3033603200843964
